Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Artwork authenticity (product.metafields.shopify.artwork-authenticity),Artwork frame material (product.metafields.shopify.artwork-frame-material),Color (product.metafields.shopify.color-pattern),Frame style (product.metafields.shopify.frame-style),Painting medium (product.metafields.shopify.painting-medium),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
butterflies-handmade-painting-wall-painting-niaz-arts,Butterflies,"<p class=""p1""><meta charset=""utf-8"">Look at these lovely butterflies fluttering in the wind.⁠ Their feelers almost touch, as in a wonderful, flying dance of love. ⁠Perfect for a children’s room wall or just as a lovely addition to your home.<br></p>
<ul>
<li class=""li1""><strong>Original art, hand-painted </strong></li>
<li class=""li1""><strong>Durable &amp; non-toxic paint on cotton canvas</strong></li>
<li class=""li1""><strong>Certificate of authenticity included</strong></li>
<li class=""li1""><strong>Fully insured free express shipping</strong></li>
<li class=""li1""><strong>Minor differences due to original handwork</strong></li>
</ul>
<p>For <strong>Custom</strong><span> </span>sizes, message us on our contact page.</p>",Niaz Arts,Home & Garden > Decor > Artwork,painting,"animal, animals, Bathroom, beige, blue, Children's Room, colorful, Dining Room, gold, Large, Living Room, Livingroom, Modern, niazarts, square, Standard, turquoise, wall art",true,Size,18*18 inches,,Style,No frame (rolled canvas),,,,,,0.0,,0,deny,manual,5999.00,15000.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0707/9791/8250/files/20200901231703.jpg?v=1771597057,1,Butterflies - Niaz Arts,false,Butterflies,,,,,,,,,lb,,,active
butterflies-handmade-painting-wall-painting-niaz-arts,,,,,,,,,18*18 inches,,,With frame (ready to hang),,,,,,0.0,,0,deny,manual,7999.00,19000.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0707/9791/8250/files/20200901231641.jpg?v=1771597057,2,Butterflies - Niaz Arts,,,,,,,,,,,lb,,,
butterflies-handmade-painting-wall-painting-niaz-arts,,,,,,,,,24*24 inches,,,No frame (rolled canvas),,,,,,0.0,,0,deny,manual,7999.00,19000.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0707/9791/8250/files/20200901231653.jpg?v=1771597057,3,Butterflies - Niaz Arts,,,,,,,,,,,lb,,,
butterflies-handmade-painting-wall-painting-niaz-arts,,,,,,,,,24*24 inches,,,With frame (ready to hang),,,,,,0.0,,0,deny,manual,13999.00,32000.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0707/9791/8250/files/20200901231707.jpg?v=1771597057,4,Butterflies - Niaz Arts,,,,,,,,,,,lb,,,
butterflies-handmade-painting-wall-painting-niaz-arts,,,,,,,,,36*36 inches,,,No frame (rolled canvas),,,,,200000886:200004521#120x120cm;14:29#1,0.0,,0,deny,manual,14999.00,35000.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0707/9791/8250/files/20200901231712.jpg?v=1771597057,5,Butterflies - Niaz Arts,,,,,,,,,,,lb,,,
butterflies-handmade-painting-wall-painting-niaz-arts,,,,,,,,,36*36 inches,,,With frame (ready to hang),,,,,,0.0,,0,deny,manual,19999.00,46000.00,true,true,,,,,"",,,,,,,,,,,,,,lb,,,
butterflies-handmade-painting-wall-painting-niaz-arts,,,,,,,,,48*48 inches,,,No frame (rolled canvas),,,,,,0.0,,0,deny,manual,22999.00,50000.00,true,true,,,,,"",,,,,,,,,,,,,,lb,,,
butterflies-handmade-painting-wall-painting-niaz-arts,,,,,,,,,48*48 inches,,,With frame (ready to hang),,,,,,0.0,,0,deny,manual,29999.00,70000.00,true,true,,,,,"",,,,,,,,,,,,,,lb,,,
butterflies-handmade-painting-wall-painting-niaz-arts,,,,,,,,,60*60 inches,,,No frame (rolled canvas),,,,,,0.0,,0,deny,manual,39999.00,96000.00,true,true,,,,,"",,,,,,,,,,,,,,lb,,,
contrast-handmade-art-wall-painting-niaz-arts,Contrast,"<p>Blending simplicity and sophistication, this abstract painting creates a bold and unique visual statement. Perfect for modern interiors, it adds an element of sophistication and intrigue to any room</p>
<ul>
<li class=""li1""><strong>Original art, hand-painted </strong></li>
<li class=""li1""><strong>Durable &amp; non-toxic paint on cotton canvas</strong></li>
<li class=""li1""><strong>Certificate of authenticity included</strong></li>
<li class=""li1""><strong>Fully insured free express shipping</strong></li>
<li class=""li1""><strong>Minor differences due to original handwork</strong></li>
</ul>
<p>For <strong>Custom</strong><span> </span>sizes, message us on our contact page.</p>
<p>.</p>",Niaz Arts,Home & Garden > Decor > Artwork,painting,"abstract, abstraction, Bathroom, black, black & white, black and white, Kitchen, Large, Living Room, Livingroom, minimalist, Modern, niaz art, niazarts, Standard, theme-bw, V-broad, Vertical, white",true,Size,18*24 inches,,Style,No frame (rolled canvas),,,,,200000886:200005380#60x90cm;14:366#01,0.0,,0,deny,manual,5999.00,15000.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0707/9791/8250/files/H7153b25e86e843478265a7625486aab1y.jpg?v=1771597054,1,Contrast - Niaz Arts,false,Contrast ,"Blending simplicity and sophistication, this abstract painting creates a bold and unique visual statement. Perfect for modern interiors, it adds an element of sophistication and intrigue to any room Original art, hand-painted Durable & non-toxic paint on cotton canvas Certificate of authenticity included Fully insured free express shipping Minor differences due to original handwork For Custom sizes, message us on our contact page. ",,,,,,,,lb,,,active
contrast-handmade-art-wall-painting-niaz-arts,,,,,,,,,18*24 inches,,,With frame (ready to hang),,,,,,0.0,,0,deny,manual,7999.00,19000.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0707/9791/8250/files/Bildschirmfoto2022-08-23um21.54.54.jpg?v=1771597055,2,Contrast - Niaz Arts,,,,,,,,,,,lb,,,
contrast-handmade-art-wall-painting-niaz-arts,,,,,,,,,24*36 inches,,,No frame (rolled canvas),,,,,,0.0,,0,deny,manual,9999.00,24000.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0707/9791/8250/files/H582ef1a7ecba4653a195c647d57f746fv.jpg?v=1771597055,3,Contrast - Niaz Arts,,,,,,,,,,,lb,,,
contrast-handmade-art-wall-painting-niaz-arts,,,,,,,,,24*36 inches,,,With frame (ready to hang),,,,,,0.0,,0,deny,manual,14999.00,32000.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0707/9791/8250/files/H569e44f88bf840b085c5f31208f6141e4.jpg?v=1771597054,4,Contrast - Niaz Arts,,,,,,,,,,,lb,,,
contrast-handmade-art-wall-painting-niaz-arts,,,,,,,,,36*48 inches,,,No frame (rolled canvas),,,,,,0.0,,0,deny,manual,17999.00,38000.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0707/9791/8250/files/QQ_2020072622340857.jpg?v=1771597054,5,Contrast - Niaz Arts,,,,,,,,,,,lb,,,
contrast-handmade-art-wall-painting-niaz-arts,,,,,,,,,36*48 inches,,,With frame (ready to hang),,,,,,0.0,,0,deny,manual,25999.00,60000.00,true,false,,,,,"",,,,,,,,,,,,,,lb,,,
contrast-handmade-art-wall-painting-niaz-arts,,,,,,,,,48*60 inches,,,No frame (rolled canvas),,,,,,0.0,,0,deny,manual,34999.00,90000.00,true,true,,,,,"",,,,,,,,,,,,,,lb,,,
autumn-season-wall-painting-handmade-art-niaz-arts,Autumn season,"<p><span>Designed to resonate &amp; spark a mix of feelings. Every day. Whether you love art or just looking to decorate, this handmade painting will instantly create a new ambience in your home or office.</span></p>
<ul>
<li class=""li1""><strong>Original art, hand-painted </strong></li>
<li class=""li1""><strong>Durable &amp; non-toxic paint on cotton canvas</strong></li>
<li class=""li1""><strong>Certificate of authenticity included</strong></li>
<li class=""li1""><strong>Fully insured free express shipping</strong></li>
<li class=""li1""><strong>Minor differences due to original handwork</strong></li>
</ul>
<p>For <strong>Custom</strong><span> </span>sizes, message us on our contact page.</p>",Niaz Arts,Home & Garden > Decor > Artwork,painting,"Bedroom, black, fall, gray, grey, H-broad, Horizontal, landscape, Large, Living Room, Livingroom, Modern, nature, niaz art, niazarts, Office, orange, people, Standard, wall art, wall painting, wide, yellow",true,Size,18*24 inches,,Style,No frame (rolled canvas),,,,,200000886:200005380#60x90cm;14:366#01,0.0,,0,deny,manual,5999.00,15000.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0707/9791/8250/files/Bildschirmfoto2022-03-29um13.55.01.jpg?v=1771597052,1,Autumn season - Niaz Arts,false,,,,,,,,,,lb,,,active
autumn-season-wall-painting-handmade-art-niaz-arts,,,,,,,,,18*24 inches,,,With frame (ready to hang),,,,,,0.0,,0,deny,manual,7999.00,19000.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0707/9791/8250/files/02b.jpg?v=1771597054,2,Autumn season - Niaz Arts,,,,,,,,,,,lb,,,
